orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score
1.0,1015,56758,62079,0,35,21763,33,1015,59764,66968,0,35,23027,33,1015,50457,53085,0,35,22332,32,1015,51111,56493,0,60,22265,32,1015,38894,46828,0,60,17486,31,1015,39854,49168,0,61,20068,31
1.0,0,18687,16114,835,42,6430,21,0,20858,19267,835,53,7369,22,0,15741,16545,835,53,7923,21,0,15741,18378,835,53,9377,21,0,14731,16011,835,53,9377,20,0,14640,17634,0,54,8726,32
0.0,16270,6184,0,12736,217,3666,-15,10180,6184,0,7333,217,3745,-15,7823,4411,0,9393,229,2987,-15,5962,5749,0,4862,229,3066,-18,7039,4983,0,4862,232,3066,-21,4903,4983,793,2724,259,3066,-13
0.0,42064,917,1770,38737,256,12190,-39,32560,917,1770,26358,256,12190,-32,30906,0,1912,35063,256,13137,-33,22965,0,1912,24589,256,13137,-32,22965,0,1912,26430,256,12485,-33,18390,0,1912,24418,321,12596,-34
1.0,0,24827,22991,1228,344,11591,28,0,25876,24074,0,344,11591,28,0,23822,17077,0,344,9099,23,0,25974,18939,0,523,9803,24,0,20322,14776,0,523,9803,23,0,20783,16305,0,527,12105,25
1.0,1872,21323,20519,2520,1098,3458,6,1872,22439,21473,2520,1198,3458,6,785,21676,18053,1732,1198,3458,2,1872,18674,17949,1609,1324,4015,6,891,17716,16992,1690,1323,2572,1,891,17716,16992,821,1435,2572,2
0.0,42794,3696,0,42048,274,10298,-22,30987,3696,0,32238,274,9586,-18,30091,2584,0,35990,432,8778,-22,22359,2595,0,28714,284,10092,-11,23132,1663,0,24013,251,7627,-11,15716,1652,1162,28131,449,8120,-8
0.0,8794,838,1419,7222,186,2963,-12,5813,838,1419,4415,194,2963,-11,5384,838,1419,4224,186,4398,-13,3412,838,1419,2335,205,2963,-12,3412,838,1419,2335,205,2963,-17,2168,838,1419,2335,230,2963,-25
1.0,0,16918,17921,0,49,13804,7,0,16918,20028,0,58,12428,8,0,15958,15436,0,61,11569,11,0,15958,17271,0,58,11670,10,0,14591,14985,0,87,8352,10,0,15926,16075,0,87,9056,10
0.0,10804,4631,5453,7867,132,4221,-6,8596,4631,5453,7867,132,4221,-6,8047,1886,5453,7867,132,4108,-1,6217,2156,5453,4337,132,4412,-3,6217,961,5453,4337,132,6008,-6,4118,961,5453,4337,155,6008,-2
1.0,0,107531,84116,883,4,29753,41,0,111794,89571,0,4,31496,60,0,96614,76031,883,4,24292,40,0,99262,80229,883,4,23656,41,0,89957,68328,0,4,26035,40,1068,85118,74666,883,4,23837,41
0.0,39293,1101,3301,39314,174,16200,-19,27876,1101,3301,19856,174,15907,-18,27088,0,3301,26729,174,15293,-16,18772,0,3301,18791,183,13259,-13,19539,0,2493,19218,195,14296,-19,13899,0,3301,7544,183,13535,-12
0.0,23858,3376,885,29166,10,4878,-40,16881,3376,885,26827,29,4878,-34,17773,2009,885,26827,29,4878,-35,13628,2009,1991,16503,10,4674,-35,13716,756,885,22428,29,5716,-37,9684,756,1991,19533,29,4878,-35
0.0,7547,5812,4107,8209,46,4740,-7,4144,6816,5896,5931,46,4740,-7,5312,5026,4107,5708,116,3769,-8,4575,5026,7037,5058,68,4155,-8,4575,5026,6283,5058,196,4155,-8,1909,6030,7037,3519,143,3769,-8
0.0,36433,402,2834,45956,53,11346,-28,25309,402,2834,30342,53,9915,-28,27997,402,2834,35789,53,10854,-28,19638,402,2834,27120,112,10854,-20,20729,402,2834,27120,112,11521,-20,13525,402,2834,22056,112,10481,-20
1.0,659,115525,108634,0,0,41781,64,659,123068,113513,0,0,42447,64,659,109925,98860,0,0,39653,57,659,111998,103598,0,0,39379,56,659,102058,91226,0,0,35824,49,0,106236,96574,0,0,37887,50
1.0,3792,7026,14765,7297,330,9410,-14,3792,7026,14765,3906,330,9410,-11,3792,7026,11007,4571,330,10224,-12,4577,7026,12109,3906,330,9655,-12,4577,5888,9744,3906,330,9655,-12,2348,5888,9724,2937,336,9655,-12
1.0,1735,7741,11066,2665,46,6656,-4,844,7741,12962,939,114,7443,-4,844,6884,8426,939,114,6475,-4,844,6884,8426,0,114,5575,0,844,5929,6036,0,114,4692,0,844,5693,7356,771,114,6535,-7
1.0,0,5398,3940,391,149,8811,6,0,5398,5417,0,155,8811,6,0,4802,4357,0,172,8953,6,0,4802,5200,0,182,9484,6,0,3840,4150,0,182,9484,6,604,4436,5091,0,171,9631,5
0.0,13106,2581,5149,10877,102,3843,-4,8679,2581,5149,9006,102,3843,-4,9988,2581,5149,9006,102,3312,-4,7432,2581,5168,10877,277,3312,1,7318,1589,4027,8573,130,4085,-5,6411,2581,3996,9006,287,4105,1
1.0,1740,5638,6300,835,76,10217,-2,1740,6697,7259,835,76,10217,-2,862,3654,6085,835,92,10393,-2,862,4643,6987,835,95,11194,-2,1740,5823,6129,835,79,9827,-2,862,5823,7123,835,82,9827,-2
0.0,8000,7000,6151,6587,142,6039,-3,8000,7000,6236,4426,182,6039,-2,10101,7000,6236,5169,205,6039,-2,8455,7000,6236,2412,205,4895,-2,3971,2817,4013,3457,143,4605,-1,7221,5234,7297,2412,205,6651,-4
0.0,37739,0,805,36972,31,9096,-38,26709,0,1737,32151,48,9096,-38,25608,0,805,31233,42,7271,-35,17541,0,1737,27740,59,7907,-35,18146,0,1737,29383,75,7907,-35,11944,0,1737,20137,75,7219,-35
1.0,1281,20645,21347,6004,101,4976,3,1281,21469,21347,3015,101,5868,3,1281,16359,19037,6004,153,6015,-2,1281,17183,19037,3015,153,5868,-2,1281,14614,16806,3015,153,6804,-2,1281,9262,17743,2288,166,5868,1
0.0,24812,0,1003,24390,297,9515,-30,19570,0,1003,18223,297,8873,-30,20294,0,0,17081,304,7167,-29,15407,790,1003,19143,297,10668,-23,16246,790,1003,19143,323,11232,-24,12547,1554,1058,14129,321,12042,-22
0.0,27687,2042,885,29937,108,8859,-11,19904,2042,885,19466,108,8497,-8,21148,1051,885,19466,108,7806,-10,13493,2691,885,16617,153,7818,-8,14745,2691,885,17154,153,7818,-8,10691,2691,0,15286,153,7818,-7
0.0,13505,2955,3399,8098,365,1852,0,8741,3847,4523,5279,365,1131,0,7931,2955,3399,5130,383,2454,0,5043,3667,3531,4170,383,3165,-3,4614,2716,3399,5130,410,3146,-2,4210,2786,4523,1619,403,2545,-2
0.0,3822,1717,9088,1690,233,5577,-14,3822,1717,9980,889,233,5577,-10,3822,1717,7852,889,233,5577,-10,3822,1717,8862,889,233,5577,-10,3822,506,6979,889,250,5577,-7,3822,506,7989,889,250,5577,-7
0.0,33681,0,0,31186,65,18882,-37,25540,0,0,25654,65,15888,-37,25222,0,0,23694,65,18307,-37,18967,0,0,20058,65,16605,-37,19798,0,0,20058,65,16605,-42,15067,0,0,14482,65,14945,-41
1.0,806,42243,34510,0,116,13033,29,806,44336,38007,0,116,14033,29,806,41337,28950,0,116,13219,19,806,42325,31196,0,116,12576,25,806,37340,26083,0,164,12925,29,806,37340,27324,0,164,12925,29
1.0,4154,3476,9216,4369,35,6958,-7,4154,3476,10506,2467,35,6958,-4,5333,1411,8495,2467,41,6273,-7,3425,1411,8495,1415,41,6273,-10,3425,1411,7018,1415,41,6273,-11,2475,1411,7971,1415,41,6273,-11
1.0,2787,35624,35746,1231,23,18970,11,2787,35624,38006,0,23,19761,11,2787,34535,31659,0,23,19386,9,2787,36241,34240,0,23,21043,9,2787,29402,27815,0,117,19311,9,2787,29402,28940,0,267,19311,9
1.0,1020,20969,14510,2716,805,7470,3,0,21807,15463,2716,807,6798,6,1077,14601,11765,2716,812,6171,6,579,19457,11733,1731,807,6798,3,1414,18739,9654,1731,807,7431,-4,1414,14169,9654,1731,709,9023,-4
1.0,1494,29748,36914,701,156,13953,28,1494,30584,39051,701,156,14774,28,1494,27590,30747,701,156,13826,25,1494,27466,32553,0,156,14450,26,0,24539,26620,0,331,13311,23,0,25375,28757,0,331,14756,23
1.0,2996,5807,6652,0,249,9468,9,2996,5807,9357,0,249,10053,10,2996,5807,7089,0,249,8766,9,2996,5807,8728,0,249,9499,15,1955,5807,7140,0,249,8542,9,1955,6992,8117,0,260,9178,9
1.0,1087,10839,17267,729,40,9260,25,1087,10839,19368,729,40,11130,25,1087,7336,14859,729,40,10446,25,1813,7416,17107,1703,40,10872,24,1087,4390,12835,729,40,10446,25,1087,5299,13897,729,46,11119,25
0.0,6456,3118,2030,9598,268,2649,-17,3841,3118,2030,8915,368,2649,-17,3841,2130,2030,8915,382,3749,-17,2857,2772,2030,6069,382,3749,-14,3751,2567,885,4730,268,4157,-3,1752,2009,2030,5350,382,2851,-14
1.0,0,55907,55887,0,33,29846,25,0,58928,58416,0,33,32298,25,0,48443,48016,0,37,28408,31,0,51464,50545,0,37,30144,31,0,46761,42068,0,37,27343,25,0,38967,44367,0,52,28779,26
0.0,29882,1363,2361,17836,9,11243,-20,22453,1363,2361,11817,9,10969,-19,25163,1363,2361,14281,9,10246,-21,16181,0,2361,11038,11,10969,-18,17334,0,2361,11038,11,10969,-19,13203,890,2361,10034,20,11832,-16
1.0,0,49434,37269,818,17,16111,17,0,50246,39919,0,17,16111,17,0,42627,31039,818,17,15390,16,0,44652,33935,818,17,17306,16,0,40234,25485,818,17,17306,15,0,40234,27371,818,17,17306,16
1.0,1800,8806,12431,676,217,9901,4,1800,8806,13873,676,217,9901,4,1800,8806,11638,676,292,9726,4,1800,9807,12810,676,326,9726,4,1800,9889,10807,676,359,9164,4,1800,9889,12046,0,365,10739,-22
1.0,1787,24988,28746,0,67,19035,25,839,27920,33275,0,67,20189,26,948,24135,26784,0,67,16593,27,0,27067,31313,0,67,17747,28,0,25034,24404,0,67,17747,28,0,25047,26964,0,67,18006,27
1.0,2051,11722,15870,0,124,9352,18,1006,11722,17433,0,124,9352,18,1006,10446,14398,0,124,10426,18,1006,11419,15854,0,124,10969,18,1006,9998,13736,0,124,11742,11,1006,10910,14855,0,124,11095,11
1.0,0,101247,83963,0,131,34932,56,0,103138,89906,0,131,37497,56,0,86468,74849,0,131,33842,34,0,87488,78327,0,131,34514,37,0,69484,68064,0,131,32835,36,0,71545,71297,0,131,34723,36
1.0,6084,7481,7618,715,169,7708,-7,6084,7481,8840,715,198,10054,-7,6084,5318,7393,715,198,10054,-7,5186,5318,8566,715,278,10054,-7,6084,4505,7176,715,198,11726,-7,5186,4505,8349,715,278,11726,-7
1.0,0,45772,46444,0,34,14521,31,0,48601,48823,0,34,15225,32,0,37559,38200,0,34,15262,30,0,36589,40142,0,55,15262,30,0,34041,33487,0,55,15262,30,0,37149,35389,0,55,15988,30
1.0,894,11350,6174,2015,0,4416,3,894,12341,7965,2015,0,4416,3,894,9245,6926,3056,0,4416,-3,0,9245,8045,1595,125,5941,-3,0,8353,6889,1595,138,5941,-4,0,6945,7130,554,184,5015,-2
0.0,19133,1743,2633,19019,6,7705,-15,13073,1743,2633,15796,31,6859,-15,13336,1743,2633,10232,6,5141,-16,8035,1743,1794,8555,31,5872,-15,9716,1743,2633,8555,31,5777,-16,6700,1743,3812,6635,31,4648,-11
0.0,14005,10505,11005,19642,1080,2214,-2,10554,11169,11882,16099,741,3015,-5,10554,8173,11882,16099,741,3025,-9,6793,7986,11005,9916,579,2724,0,6793,6370,8963,9916,393,2724,0,6793,4092,11005,8060,579,2165,-1
1.0,3655,14299,11683,4451,154,6364,-1,3051,14299,11683,2492,181,6364,0,3051,13434,9116,2492,181,6364,-1,3051,13434,10100,1949,181,6364,6,3922,10434,6887,1585,229,6575,-1,3922,10434,7888,1585,243,6208,0
0.0,39312,2543,0,38622,350,9166,-19,29418,2543,0,28833,357,7392,-12,31186,2540,0,30641,383,9203,-19,21181,2426,0,23049,412,7392,-12,22083,1746,0,23049,586,7900,-12,17618,1746,0,20437,445,8230,-11
0.0,11847,1042,5857,12054,31,4745,-4,6546,1042,5857,8819,58,3966,-3,4912,1042,7054,8685,31,3996,-1,2478,1042,7054,5116,31,2867,-4,1234,0,5967,5116,31,2879,-7,2478,0,8029,4004,31,3522,-1
0.0,2450,5644,5691,5984,24,10909,-12,2450,6327,8272,2612,24,10909,-2,2450,3651,4929,2612,24,9951,-2,1592,4230,5651,1316,37,8821,-6,1592,4230,3731,1316,42,8821,-14,1592,1788,4998,0,42,8842,-9
1.0,1209,47360,39483,0,22,21528,10,1209,49196,42795,0,22,23056,10,1209,38968,33566,0,22,21423,10,604,42228,35943,0,22,21423,11,604,34646,28532,0,22,19760,11,604,34123,30604,0,22,22352,10
0.0,27108,2836,0,32762,252,5922,-33,21479,2836,0,25957,252,4940,-33,20736,2000,744,28429,252,6736,-33,14845,1875,0,19873,271,6736,-33,14628,1039,744,20594,252,6282,-33,11342,1039,0,14865,283,7810,-33
1.0,1202,31442,30791,478,32,11311,10,1202,33583,33678,478,32,10690,10,2011,27406,24444,478,32,9535,9,2011,27893,26348,0,32,9535,12,2011,20901,20120,0,32,8803,12,2011,20901,21282,0,50,8803,12
1.0,1802,10354,23313,1302,95,7955,11,1802,10354,24064,807,95,7955,12,993,7211,18140,807,95,7955,11,993,7211,19371,807,97,8591,11,993,7211,15779,1302,133,8075,9,993,7211,15555,0,148,8591,9
1.0,4584,10673,10577,9543,148,5800,-8,2865,9700,10577,8592,160,5800,-8,2865,7748,7365,8592,160,5800,-5,1775,7748,7365,7766,160,4895,-5,1775,4944,5261,7766,167,5612,-6,2865,4523,7254,7273,486,4895,-5
1.0,4017,11951,7890,2397,77,4916,-3,4017,11951,11184,1633,77,5504,8,4017,8007,9153,1633,130,4701,8,2655,11951,11073,604,77,5504,8,2655,8007,9042,604,130,4701,8,2655,8007,10650,604,130,4701,8
2.0,3174,16596,13304,4565,556,5623,10,3174,14543,13304,2104,556,5623,11,3174,12836,9923,2104,556,4468,10,3295,13762,11890,2104,487,3420,11,3174,12025,9856,2104,556,5080,12,3295,13659,11497,2104,574,4032,13
0.0,66387,0,0,69772,66,15259,-42,53581,646,0,54373,66,14288,-42,56767,646,0,56803,66,16121,-42,46119,1561,0,45366,66,15319,-33,48063,1561,0,45366,66,15952,-33,37886,1561,0,35382,82,14980,-32
1.0,720,41372,37771,0,86,11071,21,720,42389,42634,0,86,11071,24,720,35205,35326,0,86,10339,24,720,36580,39203,0,86,12326,24,720,31262,33201,0,94,12144,23,720,32153,34363,0,94,12144,23
1.0,0,7677,9181,543,33,6354,13,0,7677,10301,543,33,6354,13,0,6380,8089,543,101,4047,17,0,6380,9209,543,101,4047,17,0,6380,7904,543,184,4334,17,0,6380,8687,543,192,4334,17
1.0,1107,16723,9774,935,137,13367,19,1107,17689,11754,935,137,13367,19,1107,16557,8889,935,137,12398,19,1107,17395,10805,935,137,13859,19,1107,17395,7958,935,137,13859,19,1107,18500,9155,935,147,14343,19
0.0,83100,1170,801,86820,18,25729,-62,65732,1170,801,69104,18,21323,-36,64986,0,0,67768,18,24764,-47,50867,0,801,57762,18,20281,-36,53483,0,0,53797,18,23565,-36,43007,0,0,46341,18,22885,-35
0.0,6954,6387,6411,10258,796,5727,-2,6246,7465,6411,5405,538,5727,-2,5639,4314,6411,5297,796,6133,-1,4931,4314,6411,1863,538,6133,-1,2476,5434,3374,3739,503,4751,5,3224,3361,4225,1592,318,6717,3
1.0,0,37374,36939,1129,181,20516,24,0,42928,40826,1968,181,21545,24,0,41083,32678,1968,181,20187,23,0,39271,33538,0,190,20187,23,0,31916,28108,0,190,18574,22,0,31916,30663,0,190,18574,23
1.0,0,32230,31407,1716,266,7119,14,0,33269,34764,1716,266,7786,17,0,27209,27642,1716,266,7786,17,0,27209,28684,699,268,7786,17,0,26768,22882,699,275,7786,18,0,25492,24982,699,277,7786,18
0.0,67312,0,1925,55671,100,17876,-44,51906,0,1925,39061,100,12311,-40,53441,0,1925,48828,290,17002,-44,41796,0,1925,32218,290,12523,-40,43290,0,1925,39014,290,15700,-40,33832,0,1925,36303,290,13970,-40
0.0,30764,0,0,27139,10,12251,-32,24954,0,0,18721,10,11300,-31,26582,0,0,23617,10,10517,-32,20716,0,0,15765,10,7959,-31,21836,0,0,19281,13,10523,-29,17055,0,0,10842,13,7959,-31
0.0,27881,976,1890,25674,440,12411,-27,20966,976,1890,21324,468,11995,-27,18225,976,1890,18420,446,12974,-27,14457,976,800,17580,448,12347,-21,13508,0,1890,15811,475,11931,-27,11180,976,0,15306,448,11379,-21
1.0,2946,26900,20792,962,65,3271,14,2946,22907,21989,0,65,3271,15,1838,22091,18034,0,65,3271,15,1838,21032,19173,0,73,2670,15,1838,20402,15850,0,73,1856,15,1838,20402,16839,0,73,1856,15
0.0,15760,3557,4238,18310,55,5781,-26,10528,3557,4238,14866,55,4741,-23,10662,3557,4238,12738,114,6383,-23,6150,2731,4238,9294,114,6173,-21,6959,2731,4238,9294,132,6173,-21,4425,2731,4238,8633,204,6914,-24
1.0,0,8303,9353,708,167,4033,11,0,8303,10412,708,167,3302,11,0,7668,8900,708,242,3675,11,0,7668,9817,708,242,3675,11,0,4851,8758,708,242,4745,10,0,5489,9673,708,253,4745,11
1.0,2735,6473,5340,4460,36,9346,7,1769,6473,5340,2505,36,7575,11,1769,2886,4423,3031,45,7575,11,1769,2886,4423,2011,45,7835,11,966,4044,2969,1793,86,10238,5,0,4044,2969,829,86,8467,9
1.0,2952,8754,12070,3080,19,6804,14,2952,9400,15044,3080,19,7489,14,2952,8105,11554,3080,19,6072,14,2062,8943,14516,3080,19,6798,14,2062,6480,11059,3080,19,5872,14,2062,5479,13035,3080,21,4543,14
1.0,0,25051,32607,0,259,7409,13,0,25051,34873,0,268,7409,18,0,21323,28447,771,304,7112,14,0,22285,30451,771,304,8693,14,0,19199,24719,771,322,7816,4,0,17033,26807,771,376,8693,3
0.0,6742,7074,2606,5436,152,6127,0,4986,8877,2606,4446,153,6127,0,4986,5628,2606,4446,153,6127,-8,3733,5628,2606,4446,165,5868,-8,4724,5473,1590,4446,165,5834,-8,3780,5628,1590,4446,183,5881,-2
2.0,7415,9004,6616,8476,251,2338,0,4926,10085,7844,4876,251,2338,0,4926,6207,4857,5811,251,2338,-6,3992,6207,4857,3889,252,3723,-6,2819,6207,1038,3925,256,2338,-7,3971,3265,5512,2474,261,4547,-13
0.0,1704,1605,3630,1155,62,5047,-14,1704,1605,3630,0,62,6076,-6,779,1605,2455,0,62,5047,-7,1704,635,3090,0,62,5047,0,1704,0,3090,0,97,5047,0,1704,0,3090,0,204,5047,0
0.0,41345,0,0,42547,9,16380,-37,28401,0,0,32001,9,15236,-36,30449,0,0,29787,17,14786,-37,21143,0,0,22842,9,13469,-37,23099,0,0,25672,9,14813,-38,15693,0,0,20312,9,14813,-37
0.0,4923,3678,6427,2888,447,6611,9,3939,4655,8158,2888,447,6611,10,3939,3659,7124,2888,447,6611,15,3939,3659,8303,2888,552,6611,15,3939,3659,6192,1914,451,7365,8,3939,3659,7371,1914,556,7365,8
0.0,45715,0,0,40327,39,13011,-40,35864,0,0,34803,39,11531,-40,36916,0,0,35640,40,12943,-40,29355,0,0,30589,40,12943,-35,30273,0,0,30589,40,12943,-42,24185,0,0,27060,42,10341,-48
0.0,5183,5860,7804,3694,300,3746,4,3066,6552,9072,2653,307,3746,7,3066,4727,6872,2653,402,3746,6,3066,4727,6861,1008,402,3746,7,855,2587,6977,1638,309,4472,7,855,4680,8090,1638,311,4913,8
1.0,1089,17902,17416,592,469,3124,2,1089,17902,19538,592,495,3124,5,1089,15837,15360,592,495,4054,4,1089,17145,16827,592,595,4054,4,2051,12753,13374,592,595,4619,1,2051,12753,14480,592,716,4619,1
1.0,0,6046,9298,0,550,4881,18,0,6046,10198,0,550,4881,18,0,5223,8742,0,550,4881,17,0,5223,9010,0,641,5318,24,0,4459,7762,0,650,5318,24,0,4459,8662,0,650,5318,24
1.0,2400,5336,11876,1657,139,8404,-1,2400,5336,12853,1657,142,8404,4,2400,6340,8752,712,163,9695,-2,2400,6340,9729,712,166,9695,3,2400,6340,8447,712,163,9695,-5,2400,6340,9424,712,166,9695,0
0.0,11834,5603,3603,16837,516,8420,-4,7083,5603,3603,12819,631,6602,-4,5402,3624,2764,11416,525,6639,-11,4863,5204,4525,10152,525,7460,-4,5311,4563,1728,7960,640,6602,-11,4953,3951,3581,2400,642,8315,-11
0.0,3179,0,1777,6674,91,7780,-20,1259,0,1777,4461,91,7199,-14,2151,0,1777,4461,91,9742,-16,892,0,1777,5423,95,8304,-16,892,0,1777,5423,108,8304,-17,681,0,1777,6112,108,5761,-19
1.0,1650,19506,26717,2040,238,6070,5,1650,19506,27779,885,244,6070,5,1650,16040,20302,0,33,6070,5,756,16804,21291,0,33,6193,5,756,10860,17667,0,33,6193,5,756,10860,18588,0,33,6193,5
1.0,0,61479,49058,783,18,25239,24,0,65814,54711,783,18,26082,29,0,56672,45844,783,18,23693,28,0,58750,50261,0,18,23693,28,0,51064,43113,0,18,18539,28,0,52006,46555,0,18,18539,28
0.0,19862,649,885,25198,355,10933,-24,15981,1295,885,20001,367,9962,-24,15515,649,885,18876,355,10072,-29,11460,646,885,15841,367,9527,-27,12356,1295,885,15088,367,9638,-29,9702,2297,885,12895,367,9638,-29
0.0,3094,6526,11343,2071,120,7372,-5,3094,7488,12332,998,143,8953,-5,3906,7488,10291,998,221,8953,-5,3294,7488,10291,0,411,10192,-5,3294,6361,8977,0,411,9372,-5,1334,5553,9093,0,355,10113,-34
1.0,5251,26783,25190,743,217,11180,16,5251,28467,29105,743,217,12179,16,5251,27372,23956,743,217,12993,4,4164,25013,26380,743,217,12873,4,4164,18569,22177,743,217,14119,4,4164,20311,23401,743,217,14119,4
1.0,0,56313,40353,0,6,24209,39,0,59369,45641,0,6,25363,39,0,47114,36973,0,6,21107,39,0,50368,40822,0,12,21381,35,0,45460,34511,0,12,22061,35,0,47938,37373,0,12,19476,35
0.0,22597,2184,2525,23784,25,5420,-14,17259,3196,2525,17767,25,5995,-8,17263,2184,2525,16058,51,7002,-10,11731,3196,2525,12374,51,7577,-4,10662,1364,2525,11753,120,5420,-14,9232,3196,2525,8506,68,7577,-3
2.0,10774,13407,9675,10414,350,2391,7,4292,14947,11809,6371,198,2391,7,4292,14947,9590,6371,198,2391,0,4292,15099,9709,3628,198,1776,1,4292,14243,7490,2864,198,2333,1,2194,14210,10509,3628,198,1776,-5
1.0,839,6241,9149,0,0,10048,-3,839,6241,10176,0,89,10048,-3,839,5319,8082,0,89,9322,-4,839,5319,9095,0,94,9040,-3,839,4821,7103,0,134,10116,0,839,4821,8116,0,139,9834,1
0.0,60187,0,951,60205,192,12375,-38,46695,0,951,44951,192,9041,-25,48419,0,951,44951,192,9041,-26,37976,944,951,38762,192,10861,-25,39695,944,951,38762,192,11622,-25,28965,944,1813,29714,198,8170,-23
1.0,1401,28386,24842,4700,356,6292,14,1401,28386,24656,2001,373,6292,18,1401,23026,19465,2001,373,5485,14,2210,19615,20202,902,381,6292,19,2210,17106,17447,2001,373,5485,14,1594,16133,17475,902,360,5485,15
1.0,0,8766,7670,1683,55,7044,1,0,9686,10577,1683,55,7683,1,0,7796,5752,0,55,7044,4,0,6571,8657,0,55,7683,4,0,5601,5780,0,55,7683,4,0,5601,6886,0,57,7683,4
1.0,4580,2315,5207,861,216,5499,4,2656,2961,6375,861,283,6149,5,2656,2961,4998,861,283,6149,4,1791,3773,6110,861,284,6747,4,1791,4583,6110,861,284,6747,1,1791,4583,7042,861,351,6747,2
0.0,16350,3226,2560,14987,59,9149,-25,11784,3226,2560,14133,59,9149,-25,13345,3226,2560,11404,92,9149,-26,7885,2470,2560,9684,102,8390,-26,9138,2470,2560,9684,102,8390,-26,6863,3361,2560,7977,112,8390,-26
0.0,18294,1460,2712,9107,293,8840,-25,14202,1460,2712,6196,293,8840,-25,15049,1460,2712,6196,293,8699,-25,11092,1460,2712,3724,293,7801,-25,11092,1460,2712,3724,293,8632,-25,7065,673,2712,3724,300,8773,-25
1.0,0,24077,24916,0,32,13586,29,0,24077,27608,0,32,13586,29,0,18708,21592,0,32,13586,22,0,18708,23323,0,32,12854,22,0,16055,17876,0,42,12854,21,0,17788,19426,0,42,12749,21
1.0,6097,2360,6857,1290,58,9049,-6,4863,3198,8036,1290,58,9617,-5,5719,3198,6089,1290,58,10234,13,5719,3198,6945,1290,80,10753,14,4467,1149,4463,537,80,7968,-1,4467,1987,5642,537,80,9665,18
